"","Sample","Method_other","value_other","value_panctc","Metr"
"137","WBC_GSE94820+BC_GSE144494_SC","scATOMIC",1,0.990950226244344,"Specificity"
"138","WBC_GSE94820+BC_GSE144495_SC","scATOMIC",1,0.990950226244344,"Specificity"
"139","WBC_GSE94820+BC_GSE51827_CL","scATOMIC",1,0.990950226244344,"Specificity"
"140","WBC_GSE94820+BC_GSE51827_SC","scATOMIC",1,0.990950226244344,"Specificity"
"141","WBC_GSE94820+BC_GSE55807_SC","scATOMIC",1,0.990950226244344,"Specificity"
"142","WBC_GSE94820+BC_GSE75367_SC","scATOMIC",1,0.990950226244344,"Specificity"
"143","WBC_GSE94820+BC_GSE86978_CL","scATOMIC",1,0.990950226244344,"Specificity"
"144","WBC_GSE94820+BC_GSE86978_SC","scATOMIC",1,0.990950226244344,"Specificity"
"145","WBC_GSE94820+HCC_CNP0000095_SC","scATOMIC",1,0.990950226244344,"Specificity"
"146","WBC_GSE94820+MELA_GSE157740_SC","scATOMIC",1,0.990950226244344,"Specificity"
"147","WBC_GSE94820+MELA_GSE157743_SC1","scATOMIC",1,0.990950226244344,"Specificity"
"148","WBC_GSE94820+MELA_GSE157743_SC2","scATOMIC",1,0.990950226244344,"Specificity"
"149","WBC_GSE94820+NSCLC_GSE74639_SC","scATOMIC",1,0.990950226244344,"Specificity"
"150","WBC_GSE94820+PC_GSE67980_SC","scATOMIC",1,0.990950226244344,"Specificity"
"151","WBC_GSE94820+BC_GSE144494_CL","scfoundation",0.398190045,0.990950226244344,"Specificity"
"152","WBC_GSE94820+BC_GSE144494_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"153","WBC_GSE94820+BC_GSE144495_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"154","WBC_GSE94820+BC_GSE51827_CL","scfoundation",0.398190045,0.990950226244344,"Specificity"
"155","WBC_GSE94820+BC_GSE51827_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"156","WBC_GSE94820+BC_GSE55807_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"157","WBC_GSE94820+BC_GSE75367_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"158","WBC_GSE94820+BC_GSE86978_CL","scfoundation",0.398190045,0.990950226244344,"Specificity"
"159","WBC_GSE94820+BC_GSE86978_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"160","WBC_GSE94820+HCC_CNP0000095_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"161","WBC_GSE94820+MELA_GSE157740_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"162","WBC_GSE94820+MELA_GSE157743_SC1","scfoundation",0.398190045,0.990950226244344,"Specificity"
"163","WBC_GSE94820+MELA_GSE157743_SC2","scfoundation",0.398190045,0.990950226244344,"Specificity"
"164","WBC_GSE94820+NSCLC_GSE74639_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"165","WBC_GSE94820+PC_GSE67980_SC","scfoundation",0.398190045,0.990950226244344,"Specificity"
"166","WBC_GSE94820+BC_GSE144494_CL","scGPT",0.746606335,0.990950226244344,"Specificity"
"167","WBC_GSE94820+BC_GSE144494_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"168","WBC_GSE94820+BC_GSE144495_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"169","WBC_GSE94820+BC_GSE51827_CL","scGPT",0.746606335,0.990950226244344,"Specificity"
"170","WBC_GSE94820+BC_GSE51827_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"171","WBC_GSE94820+BC_GSE55807_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"172","WBC_GSE94820+BC_GSE75367_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"173","WBC_GSE94820+BC_GSE86978_CL","scGPT",0.746606335,0.990950226244344,"Specificity"
"174","WBC_GSE94820+BC_GSE86978_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"175","WBC_GSE94820+HCC_CNP0000095_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"176","WBC_GSE94820+MELA_GSE157740_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"177","WBC_GSE94820+MELA_GSE157743_SC1","scGPT",0.746606335,0.990950226244344,"Specificity"
"178","WBC_GSE94820+MELA_GSE157743_SC2","scGPT",0.746606335,0.990950226244344,"Specificity"
"179","WBC_GSE94820+NSCLC_GSE74639_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
"180","WBC_GSE94820+PC_GSE67980_SC","scGPT",0.746606335,0.990950226244344,"Specificity"
