"","Accuracy","Sample","Immune cells added","Group","variable","value","Group2"
"158",0.99890590809628,"predict_GSE155698_Healthy_PBMC_1_BC_GSE86978_CL_n22.csv","GSE155698 HD1
n=2720","CTC cluster","Precision",1,"CTC cluster"
"159",0.996756756756757,"predict_GSE155698_Healthy_PBMC_1_BC_GSE86978_SC_n55.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"160",0.987998588069185,"predict_GSE155698_Healthy_PBMC_1_HCC_CNP0000095_SC_n113.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"161",1,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157740_SC_n13.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"162",0.993919885550787,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157743_SC1_n76.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"163",1,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157743_SC2_n20.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"164",1,"predict_GSE155698_Healthy_PBMC_1_NSCLC_GSE74639_SC_n10.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"165",1,"predict_GSE155698_Healthy_PBMC_1_PC_GSE67980_SC_n77.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"166",0.99957507082153,"predict_GSE199994_HD1_BC_GSE144494_CL_n28.csv","GSE199994 HD1
n=7032","CTC cluster","Precision",1,"CTC cluster"
"167",0.996918335901387,"predict_GSE199994_HD1_BC_GSE144494_SC_n107.csv","GSE199994 HD1
n=7032","Single CTC","Precision",1,"Single CTC"
"168",0.996779162582271,"predict_GSE199994_HD1_BC_GSE144495_SC_n109.csv","GSE199994 HD1
n=7032","Single CTC","Precision",1,"Single CTC"
"169",0.999858075503832,"predict_GSE199994_HD1_BC_GSE51827_CL_n14.csv","GSE199994 HD1
n=7032","CTC cluster","Precision",1,"CTC cluster"
"170",0.999716191287073,"predict_GSE199994_HD1_BC_GSE51827_SC_n15.csv","GSE199994 HD1
n=7032","Single CTC","Precision",1,"Single CTC"
"171",1,"predict_GSE199994_HD1_BC_GSE55807_SC_n6.csv","GSE199994 HD1
n=7032","Single CTC","Precision",1,"Single CTC"
"172",0.997885238967997,"predict_GSE199994_HD1_BC_GSE75367_SC_n61.csv","GSE199994 HD1
n=7032","Single CTC","Precision",1,"Single CTC"
"173",0.999574709384746,"predict_GSE199994_HD1_BC_GSE86978_CL_n22.csv","GSE199994 HD1
n=7032","CTC cluster","Precision",1,"CTC cluster"
